Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
3.284,-0.259666667,10.7737,0,0
3.336,-0.2604,10.7737,0,0
3.753,-0.2618,10.7737,0,0
3.803,-0.262866667,10.7757,0,0
4.222,-0.263933333,10.781013333333334,0,0
4.272,-0.2648,10.790013333333333,0,0
4.692,-0.2656,10.802326666666666,0,0
4.742,-0.266733333,10.818393333333335,0,0
5.161,-0.2676,10.837706666666666,0,0
5.211,-0.268466667,10.860773333333333,0,0
5.63,-0.267133333,10.887086666666667,0,0
5.68,-0.265066667,10.917153333333333,0,0
6.099,-0.262266667,10.950466666666667,0,0
6.149,-0.259133333,10.987533333333333,0,0
6.568,-0.2558,11.027913333333334,0,0
6.618,-0.253,11.07204,0,0
7.037,-0.2502,11.119480000000001,0,0
7.087,-0.246733333,11.170606666666666,0,0
7.506,-0.242066667,11.223046666666667,0,0
7.556,-0.2374,11.27586,0,0
7.976,-0.232266667,11.3283,0,0
8.026,-0.2272,11.38118,0,0
8.445,-0.222,11.433553333333332,0,0
8.495,-0.217066667,11.486433333333334,0,0
8.914,-0.213733333,11.538806666666666,0,0
8.964,-0.2126,11.591686666666668,0,0
9.383,-0.2106,11.64406,0,0
9.433,-0.209333333,11.696940000000001,0,0
9.852,-0.208533333,11.749373333333333,0,0
9.902,-0.207933333,11.802246666666667,0,0
10.321,-0.208266667,11.854686666666668,0,0
10.371,-0.2086,11.9075,0,0
10.791,-0.209,11.95994,0,0
10.841,-0.2106,12.012813333333334,0,0
11.26,-0.212,12.065253333333334,0,0
11.31,-0.213866667,12.118126666666665,0,0
11.729,-0.214866667,12.1705,0,0
11.779,-0.216,12.223373333333335,0,0
12.198,-0.216733333,12.275746666666667,0,0
12.248,-0.215866667,12.32862,0,0
12.667,-0.214733333,12.380993333333333,0,0
12.717,-0.214466667,12.433866666666667,0,0
13.136,-0.213666667,12.4863,0,0
13.186,-0.2124,12.53918,0,0
13.605,-0.209933333,12.59162,0,0
13.655,-0.206533333,12.644433333333332,0,0
14.074,-0.202733333,12.696873333333334,0,0
14.124,-0.198866667,12.749686666666666,0,0
14.544,-0.194866667,12.802066666666667,0,0
14.594,-0.191066667,12.85494,0,0
15.013,-0.186733333,12.90732,0,0
15.063,-0.183266667,12.960193333333333,0,0
15.482,-0.180066667,13.012573333333334,0,0
15.532,-0.177266667,13.065446666666666,0,0
15.951,-0.1748,13.117826666666668,0,0
16.001,-0.1726,13.1707,0,0
16.42,-0.171533333,13.22314,0,0
