Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
0.942,-0.0224,0.0,0.0,0.0
0.994,-0.023200000000000002,0.0,0.0,0.0
1.413,-0.024,0.0,0.0,0.0
1.464,-0.024,0.0,0.0,0.0
1.883,-0.023200000000000002,0.0,0.0,0.0
1.935,-0.0224,0.0,0.0,0.0
2.354,-0.0216,0.0,0.0,0.0
2.405,-0.020800000000000003,0.0,0.0,0.0
2.824,-0.020200000000000003,0.0,0.0,0.0
2.876,-0.0204,0.0,0.0,0.0
3.295,-0.02,0.0,0.0,0.0
3.346,-0.0196,0.0,0.0,0.0
3.766,-0.0198,0.0,0.0,0.0
3.817,-0.0198,0.0,0.0,0.0
4.236,-0.020200000000000003,0.0,0.0,0.0
4.287,-0.0212,0.0,0.0,0.0
4.707,-0.0218,0.0,0.0,0.0
4.758,-0.0218,0.0,0.0,0.0
5.177,-0.0234,0.0,0.0,0.0
5.228,-0.0246,0.0,0.0,0.0
5.648,-0.0258,0.0,0.0,0.0
5.699,-0.0274,0.0,0.0,0.0
6.118,-0.029200000000000004,0.0,0.0,0.0
6.169,-0.0294,0.0,0.0,0.0
6.589,-0.0294,0.0,0.0,0.0
6.64,-0.0294,0.0,0.0,0.0
7.059,-0.0284,0.0,0.0,0.0
7.11,-0.027200000000000002,0.0,0.0,0.0
7.53,-0.0262,0.0,0.0,0.0
7.581,-0.0254,0.0,0.0,0.0
8.0,-0.0248,0.0,0.0,0.0
8.051,-0.0252,0.0,0.0,0.0
8.471,-0.0254,0.0,0.0,0.0
8.522,-0.0254,0.0,0.0,0.0
8.941,-0.0258,0.0,0.0,0.0
8.992,-0.026000000000000002,0.0,0.0,0.0
9.412,-0.026000000000000002,0.0,0.0,0.0
9.463,-0.0262,0.0,0.0,0.0
9.882,-0.026000000000000002,0.0,0.0,0.0
9.933,-0.0254,0.0,0.0,0.0
10.352,-0.0254,0.0,0.0,0.0
10.404,-0.0256,0.0,0.0,0.0
10.823,-0.0252,0.0,0.0,0.0
10.874,-0.0252,0.0,0.0,0.0
11.294,-0.0252,0.0,0.0,0.0
11.345,-0.0246,0.0,0.0,0.0
11.764,-0.024,0.0,0.0,0.0
11.814,-0.024,0.00882,0.0,0.0
12.235,-0.0186,0.02758,0.0,0.0
12.285,-0.0132,0.05776,0.0,0.0
12.705,0.0007999999999999997,0.0977,0.0,0.0
12.755,0.014799999999999999,0.14887999999999998,0.0,0.0
13.175,0.0314,0.20118,0.0,0.0
13.225,0.0426,0.2546,0.0,0.0
13.646,0.0576,0.30654,0.0,0.0
13.696,0.064,0.35998,0.0,0.0
14.116,0.1032,0.41212,0.0,0.0
14.166,0.13979999999999998,0.46537999999999996,0.0,0.0
14.587,0.20939999999999998,0.51752,0.0,0.0
14.637,0.2752,0.57058,0.0,0.0
15.057,0.3144,0.62252,0.0,0.0
15.107,0.32080000000000003,0.67538,0.0,0.0
15.528,0.31320000000000003,0.7275,0.0,0.0
15.578,0.2726,0.78056,0.0,0.0
15.998,0.227,0.8328800000000001,0.0,0.0
16.048,0.20800000000000002,0.8859400000000001,0.0,0.0
16.469,0.20659999999999998,0.9384399999999999,0.0,0.0
16.519,0.2192,0.99168,0.0,0.0
16.939,0.2616,1.04418,0.0,0.0
16.989,0.309,1.09742,0.0,0.0
17.411,0.3324,1.1501000000000001,0.0,0.0
17.461,0.33819999999999995,1.20374,0.0,0.0
17.881,0.3312,1.25624,0.0,0.0
17.931,0.2944,1.30986,0.0,0.0
18.352,0.2548,1.36274,0.0,0.0
18.402,0.2392,1.41656,0.0,0.0
18.822,0.22080000000000002,1.46906,0.0,0.0
18.872,0.2152,1.52288,0.0,0.0
19.293,0.2092,1.57556,0.0,0.0
19.343,0.20600000000000002,1.62938,0.0,0.0
19.763,0.20539999999999997,1.68188,0.0,0.0
19.813,0.2076,1.73568,0.0,0.0
20.234,0.219,1.7883600000000002,0.0,0.0
20.284,0.23079999999999998,1.8421800000000002,0.0,0.0
20.704,0.25220000000000004,1.89468,0.0,0.0
20.754,0.271,1.9483000000000001,0.0,0.0
21.175,0.29900000000000004,2.00062,0.0,0.0
21.225,0.31779999999999997,2.0540599999999998,0.0,0.0
21.645,0.33799999999999997,2.1061799999999997,0.0,0.0
21.695,0.34859999999999997,2.15942,0.0,0.0
22.116,0.35,2.21174,0.0,0.0
22.166,0.34219999999999995,2.26536,0.0,0.0
22.586,0.3346,2.31768,0.0,0.0
22.636,0.3256,2.37112,0.0,0.0
23.057,0.333,2.4234400000000003,0.0,0.0
23.107,0.3496,2.47688,0.0,0.0
23.527,0.37520000000000003,2.529,0.0,0.0
23.577,0.4006,2.58226,0.0,0.0
23.998,0.41859999999999997,2.63438,0.0,0.0
24.048,0.4202,2.68782,0.0,0.0
