Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
476.732,0.6017125000000014,135.33047875,5.41321915,0.557141203703705
476.782,0.6018000000000014,135.34681375,5.41387255,0.5572222222222235
476.832,0.6018875000000014,135.36314875,5.41452595,0.557303240740742
476.882,0.6019125000000013,135.37948375000002,5.415179350000001,0.5573263888888901
476.932,0.6019375000000013,135.39582625,5.41583305,0.5573495370370383
476.982,0.6018500000000013,135.4121625,5.4164864999999995,0.5572685185185197
477.032,0.6017625000000013,135.42849875,5.417139949999999,0.5571875000000012
477.082,0.6016875000000013,135.444835,5.417793400000001,0.5571180555555567
477.132,0.6016125000000013,135.46117125,5.4184468500000005,0.5570486111111123
477.182,0.6015500000000014,135.4775075,5.4191003,0.556990740740742
477.232,0.6014875000000013,135.49384875,5.4197539500000005,0.5569328703703715
477.282,0.6015750000000013,135.510185,5.4204074,0.55701388888889
477.332,0.6016625000000013,135.52652125,5.42106085,0.5570949074074086
477.382,0.6019000000000013,135.5428575,5.4217143,0.557314814814816
477.432,0.6021375000000013,135.55919375000002,5.422367750000001,0.5575347222222234
477.482,0.6023875000000013,135.57553000000001,5.423021200000001,0.5577662037037049
477.532,0.6026375000000013,135.59187125,5.42367485,0.5579976851851863
477.582,0.6029625000000014,135.60820625,5.424328249999999,0.5582986111111123
477.632,0.6032875000000013,135.62454125,5.424981649999999,0.5585995370370382
477.682,0.6037500000000013,135.64087625,5.4256350499999995,0.559027777777779
477.732,0.6042125000000013,135.65721249999999,5.426288499999999,0.5594560185185197
477.782,0.6046000000000014,135.67355500000002,5.426942200000001,0.559814814814816
477.832,0.6049875000000012,135.6898975,5.4275959,0.5601736111111122
477.882,0.6052625000000014,135.70623375,5.42824935,0.5604282407407419
477.932,0.6055375000000013,135.72257,5.4289027999999995,0.5606828703703716
477.982,0.6057625000000013,135.73890624999999,5.429556249999999,0.5608912037037049
478.032,0.6059875000000013,135.7552425,5.430209700000001,0.5610995370370383
478.082,0.6061625000000014,135.77158375,5.430863349999999,0.5612615740740753
478.132,0.6063375000000013,135.78792,5.431516800000001,0.5614236111111123
478.182,0.6064500000000013,135.80425625,5.43217025,0.561527777777779
