Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
593.493,1.3607500000000012,173.9656975,5.798856583333333,0.22679166666666686
593.543,1.3611000000000013,173.98203375,5.799401125,0.22685000000000022
593.593,1.3613875000000013,173.99837,5.799945666666667,0.2268979166666669
593.643,1.3616750000000013,174.0147125,5.800490416666666,0.22694583333333354
593.693,1.3618500000000013,174.0310475,5.801034916666667,0.22697500000000023
593.743,1.3620250000000014,174.0473825,5.801579416666667,0.2270041666666669
593.793,1.3620875000000012,174.0637175,5.802123916666667,0.22701458333333355
593.843,1.362150000000001,174.08005375,5.802668458333333,0.22702500000000017
593.893,1.3622625000000013,174.09638999999999,5.8032129999999995,0.2270437500000002
593.943,1.3623750000000012,174.11272624999998,5.803757541666666,0.2270625000000002
593.993,1.3624500000000013,174.12905625000002,5.804301875000001,0.22707500000000022
594.043,1.362525000000001,174.14538625,5.804846208333333,0.2270875000000002
594.093,1.3626250000000013,174.16171624999998,5.805390541666666,0.22710416666666688
594.143,1.3627250000000013,174.17804625000002,5.805934875000001,0.22712083333333355
594.193,1.3627000000000014,174.19438250000002,5.806479416666667,0.22711666666666688
594.244,1.3626750000000012,174.21071750000002,5.807023916666667,0.2271125000000002
594.294,1.362737500000001,174.22705249999999,5.807568416666666,0.22712291666666684
594.344,1.3628000000000011,174.24338749999998,5.8081129166666665,0.22713333333333352
594.394,1.3628375000000013,174.2597225,5.808657416666667,0.22713958333333353
594.444,1.3628750000000012,174.27605875,5.809201958333333,0.22714583333333352
594.494,1.362925000000001,174.29240125,5.809746708333334,0.22715416666666685
594.544,1.3629750000000012,174.3087375,5.810291250000001,0.22716250000000018
594.594,1.3630625000000012,174.32507375,5.810835791666666,0.22717708333333353
594.644,1.3631500000000012,174.34141,5.811380333333333,0.22719166666666687
594.694,1.363387500000001,174.35774625,5.811924875,0.2272312500000002
594.744,1.3636250000000012,174.37408250000001,5.8124694166666675,0.22727083333333353
594.794,1.363725000000001,174.39042375,5.813014125,0.22728750000000017
594.844,1.363825000000001,174.40676000000002,5.813558666666667,0.22730416666666683
594.894,1.363862500000001,174.42309625000001,5.814103208333334,0.22731041666666685
594.944,1.363900000000001,174.4394325,5.814647750000001,0.22731666666666683
594.994,1.3640125000000012,174.45576875,5.8151922916666665,0.22733541666666687
595.044,1.364125000000001,174.472105,5.815736833333333,0.22735416666666683
595.094,1.364350000000001,174.4884475,5.816281583333334,0.22739166666666685
595.144,1.364575000000001,174.5047825,5.816826083333334,0.22742916666666682
595.194,1.3647875000000012,174.5211175,5.817370583333333,0.22746458333333353
595.244,1.365000000000001,174.5374525,5.817915083333333,0.22750000000000017
595.294,1.3651500000000012,174.55378875,5.818459625,0.2275250000000002
595.344,1.365300000000001,174.57012500000002,5.819004166666668,0.22755000000000017
595.394,1.365412500000001,174.58646125,5.8195487083333335,0.22756875000000018
595.444,1.3655250000000012,174.60279125,5.8200930416666665,0.2275875000000002
595.494,1.3656125000000012,174.61912124999998,5.820637375,0.22760208333333354
595.544,1.365700000000001,174.63545125000002,5.8211817083333335,0.22761666666666683
595.594,1.3658750000000013,174.65178125,5.8217260416666665,0.22764583333333355
595.644,1.366050000000001,174.66811625,5.822270541666667,0.22767500000000018
595.695,1.3662875000000012,174.68445125,5.822815041666667,0.22771458333333353
595.745,1.3664375000000013,174.70078625000002,5.823359541666667,0.22773958333333355
595.795,1.3665875000000012,174.71712250000002,5.823904083333334,0.22776458333333352
595.845,1.3666875000000012,174.73345875,5.8244486250000005,0.22778125000000018
595.895,1.3667875000000014,174.749795,5.824993166666667,0.2277979166666669
595.945,1.3668875000000011,174.76613749999999,5.825537916666666,0.22781458333333351
595.995,1.3670750000000012,174.78247375,5.8260824583333335,0.22784583333333353
596.045,1.3672625000000012,174.79881,5.826627,0.22787708333333354
596.095,1.3674625000000011,174.81514625,5.827171541666667,0.22791041666666687
596.145,1.3676625000000011,174.8314825,5.827716083333333,0.2279437500000002
596.195,1.3679250000000012,174.84781875000002,5.828260625,0.2279875000000002
596.245,1.3681875000000012,174.86416,5.828805333333333,0.2280312500000002
596.295,1.3684250000000013,174.88049625000002,5.829349875000001,0.22807083333333356
596.345,1.3686625000000012,174.89683250000002,5.829894416666667,0.22811041666666687
596.395,1.3689500000000012,174.91316875,5.830438958333334,0.22815833333333355
596.445,1.3692375000000012,174.929505,5.8309835,0.2282062500000002
596.495,1.3695750000000013,174.94584125,5.831528041666667,0.22826250000000023
596.545,1.3699125000000012,174.96218249999998,5.832072749999999,0.2283187500000002
596.595,1.3702750000000012,174.9785175,5.83261725,0.22837916666666688
596.645,1.3706375000000013,174.9948525,5.83316175,0.22843958333333356
596.695,1.3710125000000013,175.01118875,5.833706291666667,0.22850208333333355
596.745,1.3713875000000013,175.027525,5.834250833333333,0.22856458333333354
596.795,1.3716875000000013,175.0438675,5.834795583333333,0.22861458333333354
596.845,1.3719875000000012,175.06021,5.835340333333334,0.22866458333333353
596.895,1.3722875000000012,175.07654625,5.8358848750000005,0.22871458333333353
596.945,1.3725875000000012,175.0928825,5.836429416666666,0.22876458333333352
596.995,1.3729750000000014,175.10921875,5.836973958333333,0.2288291666666669
597.045,1.3733625000000012,175.12555375,5.837518458333333,0.2288937500000002
597.095,1.3737000000000013,175.141895,5.838063166666667,0.2289500000000002
597.145,1.3740375000000014,175.15823125,5.838607708333333,0.22900625000000022
597.195,1.3742250000000014,175.17456750000002,5.839152250000001,0.22903750000000023
597.245,1.3744125000000014,175.19090375000002,5.839696791666667,0.22906875000000024
597.295,1.3744500000000013,175.20724,5.840241333333334,0.22907500000000022
597.345,1.3744875000000012,175.22357625,5.840785875,0.2290812500000002
597.395,1.3744750000000014,175.2399175,5.841330583333333,0.22907916666666692
597.445,1.3744625000000013,175.25625250000002,5.841875083333334,0.22907708333333354
597.495,1.3744750000000014,175.27258750000001,5.842419583333334,0.22907916666666692
597.545,1.3744875000000012,175.28892249999998,5.8429640833333325,0.2290812500000002
597.595,1.3744875000000012,175.30525875,5.843508625,0.2290812500000002
597.645,1.3744875000000012,175.321595,5.844053166666667,0.2290812500000002
597.695,1.3745250000000013,175.3379375,5.844597916666667,0.22908750000000022
597.745,1.3745625000000012,175.35427375,5.845142458333333,0.2290937500000002
597.795,1.3745625000000012,175.37061,5.845687,0.2290937500000002
597.845,1.3745625000000012,175.386945,5.8462315,0.2290937500000002
597.895,1.3744875000000012,175.40328,5.846776,0.2290812500000002
597.945,1.3744125000000014,175.419615,5.8473204999999995,0.22906875000000024
597.995,1.3743875000000014,175.43595625,5.847865208333333,0.22906458333333357
598.045,1.3743625000000013,175.4522925,5.84840975,0.22906041666666688
598.095,1.3743625000000013,175.46862875,5.848954291666667,0.22906041666666688
598.145,1.3743625000000013,175.48496500000002,5.8494988333333335,0.22906041666666688
598.195,1.3743500000000013,175.50130125,5.850043375,0.22905833333333356
598.245,1.3743375000000013,175.5176375,5.850587916666667,0.2290562500000002
598.295,1.3742750000000012,175.53397375,5.851132458333334,0.22904583333333353
598.345,1.3742125000000014,175.550305,5.851676833333333,0.2290354166666669
598.395,1.3741125000000014,175.56663625000002,5.852221208333334,0.22901875000000024
598.445,1.3740125000000014,175.58296625,5.852765541666667,0.22900208333333358
598.495,1.3738750000000013,175.59929625,5.853309875,0.22897916666666687
598.545,1.3737375000000014,175.6156325,5.853854416666667,0.22895625000000022
598.596,1.3736625000000013,175.63196875,5.854398958333333,0.22894375000000022
598.646,1.3735875000000015,175.648305,5.8549435,0.22893125000000025
598.696,1.3734250000000015,175.66464125,5.855488041666666,0.2289041666666669
598.746,1.3732625000000014,175.68097749999998,5.856032583333333,0.22887708333333356
598.796,1.3731375000000015,175.69731374999998,5.856577124999999,0.22885625000000023
598.846,1.3730125000000015,175.713655,5.857121833333333,0.22883541666666693
598.896,1.3729625000000014,175.72999,5.8576663333333325,0.22882708333333357
598.946,1.3729125000000015,175.74632624999998,5.858210874999999,0.22881875000000026
598.996,1.3728125000000015,175.7626625,5.858755416666667,0.2288020833333336
599.046,1.3727125000000016,175.77899875,5.859299958333334,0.22878541666666694
599.096,1.3725250000000015,175.795335,5.8598444999999995,0.22875416666666692
599.146,1.3723375000000015,175.8116775,5.86038925,0.22872291666666691
599.196,1.3721750000000015,175.82801375,5.860933791666667,0.22869583333333357
599.246,1.3720125000000016,175.84435000000002,5.861478333333334,0.22866875000000028
599.296,1.3720375000000016,175.860685,5.862022833333333,0.22867291666666692
599.346,1.3720625000000015,175.87702,5.862567333333333,0.2286770833333336
599.396,1.3720375000000016,175.89335499999999,5.863111833333333,0.22867291666666692
599.446,1.3720125000000016,175.90969625,5.863656541666667,0.22866875000000028
599.496,1.3719750000000015,175.9260325,5.864201083333333,0.22866250000000024
599.546,1.3719375000000016,175.94236874999999,5.864745624999999,0.22865625000000026
599.596,1.3718500000000016,175.958705,5.865290166666667,0.22864166666666694
599.646,1.3717625000000016,175.97504125,5.865834708333334,0.2286270833333336
599.696,1.3716500000000016,175.9913775,5.86637925,0.2286083333333336
599.746,1.3716250000000016,176.00771375,5.866923791666666,0.22860416666666694
599.796,1.3716750000000015,176.0240425,5.867468083333334,0.22861250000000025
599.846,1.3717750000000017,176.0403725,5.868012416666667,0.22862916666666697
599.896,1.3719000000000015,176.0567025,5.86855675,0.22865000000000024
599.946,1.3720250000000014,176.0730325,5.869101083333334,0.22867083333333357
599.996,1.3720625000000015,176.08936875,5.869645625,0.2286770833333336
600.047,1.3721000000000014,176.105705,5.870190166666666,0.22868333333333357
600.097,1.3721125000000014,176.12204125,5.870734708333333,0.2286854166666669
600.147,1.3721250000000016,176.1383775,5.87127925,0.22868750000000027
600.197,1.3721750000000015,176.15471374999998,5.8718237916666665,0.22869583333333357
600.247,1.3722250000000016,176.17104999999998,5.872368333333332,0.22870416666666693
600.297,1.3723250000000013,176.18739125,5.872913041666666,0.22872083333333357
600.347,1.3724250000000016,176.20372749999999,5.873457583333333,0.22873750000000026
600.397,1.3725250000000015,176.22006375,5.8740021250000005,0.22875416666666692
600.447,1.3726250000000015,176.2364,5.874546666666666,0.2287708333333336
600.497,1.3727625000000017,176.25273625,5.875091208333333,0.22879375000000027
600.547,1.3729000000000016,176.2690725,5.87563575,0.22881666666666692
600.597,1.3730375000000015,176.285415,5.8761805,0.22883958333333357
600.647,1.3731750000000016,176.30175125,5.876725041666666,0.22886250000000027
600.697,1.3733375000000014,176.31808625000002,5.877269541666667,0.22888958333333356
600.747,1.3735000000000013,176.33442125,5.877814041666666,0.22891666666666688
600.797,1.3736375000000014,176.35075625,5.878358541666667,0.22893958333333356
600.847,1.3737750000000015,176.36709125,5.878903041666666,0.22896250000000026
600.897,1.3739250000000014,176.3834325,5.87944775,0.22898750000000023
600.947,1.3740750000000015,176.39976875,5.8799922916666665,0.22901250000000026
600.997,1.3741875000000014,176.416105,5.880536833333333,0.22903125000000024
601.047,1.3743000000000014,176.43244124999998,5.881081374999999,0.22905000000000023
601.097,1.3745000000000016,176.4487775,5.881625916666667,0.2290833333333336
601.147,1.3747000000000014,176.46511875000002,5.8821706250000005,0.22911666666666688
601.197,1.3749750000000014,176.48146,5.8827153333333335,0.22916250000000024
601.247,1.3752500000000014,176.49779625000002,5.883259875000001,0.22920833333333357
601.297,1.3756375000000014,176.51413250000002,5.883804416666667,0.2292729166666669
601.347,1.3760250000000014,176.53046875,5.884348958333334,0.22933750000000022
601.397,1.3763375000000013,176.546805,5.8848935,0.22938958333333356
601.447,1.3766500000000015,176.56314749999999,5.885438249999999,0.2294416666666669
