Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
3.276,-22.162533333333332,0.0,0.0,0.0
3.327,-22.162466666666667,0.0,0.0,0.0
3.744,-22.162333333333333,0.0,0.0,0.0
3.795,-22.162133333333333,0.0,0.0,0.0
4.212,-22.161800000000003,0.0,0.0,0.0
4.263,-22.1616,0.0,0.0,0.0
4.68,-22.1614,0.0,0.0,0.0
4.731,-22.161066666666667,0.0,0.0,0.0
5.148,-22.1608,0.0,0.0,0.0
5.199,-22.160666666666664,0.0,0.0,0.0
5.616,-22.160533333333333,0.0,0.0,0.0
5.667,-22.160266666666665,0.0,0.0,0.0
6.084,-22.159733333333335,0.0,0.0,0.0
6.135,-22.159533333333332,0.0,0.0,0.0
6.552,-22.159333333333333,0.0,0.0,0.0
6.603,-22.158933333333334,0.0,0.0,0.0
7.02,-22.15853333333333,0.0,0.0,0.0
7.071,-22.1582,0.0,0.0,0.0
7.488,-22.157799999999998,0.0,0.0,0.0
7.539,-22.157533333333333,0.0,0.0,0.0
7.956,-22.157333333333334,0.0,0.0,0.0
8.007,-22.15713333333333,0.0,0.0,0.0
8.424,-22.15693333333333,0.0,0.0,0.0
8.475,-22.156666666666663,0.0,0.0,0.0
8.892,-22.156066666666668,0.0,0.0,0.0
8.943,-22.155466666666666,0.0,0.0,0.0
9.36,-22.155133333333332,0.0,0.0,0.0
9.411,-22.155066666666666,0.0,0.0,0.0
9.828,-22.154999999999998,0.0,0.0,0.0
9.879,-22.154933333333336,0.0,0.0,0.0
10.296,-22.154866666666667,0.0,0.0,0.0
10.347,-22.1548,0.0,0.0,0.0
10.764,-22.154733333333336,0.0,0.0,0.0
10.815,-22.154733333333336,0.0,0.0,0.0
11.232,-22.154733333333336,0.0,0.0,0.0
11.283,-22.154666666666667,0.0,0.0,-22.154666666666667
11.7,-22.154600000000002,0.0,0.0,-22.154600000000002
11.751,-22.154533333333333,0.0,0.0,-22.154533333333333
12.168,-22.154333333333334,0.0,0.0,-18.461944444444445
12.219,-22.154466666666668,0.0,0.0,-18.46205555555556
12.636,-22.154533333333333,0.0,0.0,-18.462111111111113
12.687,-22.154333333333334,0.0,0.0,-18.461944444444445
13.104,-22.1542,0.0,0.0,-18.461833333333335
13.155,-22.15406666666667,0.0,0.0,-18.461722222222225
13.572,-22.154,0.0,0.0,-18.461666666666666
13.623,-22.153933333333335,0.0,0.0,-18.461611111111115
14.039,-22.153866666666666,0.0,0.0,-18.461555555555556
14.091,-22.1538,0.0,0.0,-18.4615
14.507,-22.15373333333333,0.0,0.0,-18.461444444444442
14.559,-22.153666666666666,0.0,0.0,-18.46138888888889
14.975,-22.153666666666666,0.0,0.0,-18.46138888888889
15.027,-22.153666666666666,0.0,0.0,-18.46138888888889
15.443,-22.153599999999997,0.0,0.0,-18.461333333333332
15.495,-22.153666666666666,0.0,0.0,-18.46138888888889
15.91,-22.153666666666666,0.0,0.0,-18.46138888888889
15.963,-22.15373333333333,0.0,0.0,-18.461444444444442
16.378,-22.153666666666666,0.0,0.0,-18.46138888888889
16.431,-22.153533333333332,0.0,0.0,-18.461277777777777
16.846,-22.153533333333332,0.0,0.0,-18.461277777777777
16.898,-22.153466666666667,0.0,0.0,-18.461222222222222
17.314,-22.153466666666667,0.0,0.0,-18.461222222222222
17.366,-22.153466666666667,0.0,0.0,-18.461222222222222
17.782,-22.153466666666667,0.0,0.0,-18.461222222222222
18.718,-22.153466666666667,0.0,0.0,-18.461222222222222
18.77,-22.153466666666667,0.0,0.0,-18.461222222222222
19.186,-20.676466666666666,0.0,0.0,-17.23038888888889
19.238,-19.19946666666667,0.0,0.0,-15.999555555555558
19.654,-17.7226,0.0,0.0,-14.768833333333333
19.705,-16.245733333333334,0.0,0.0,-13.538111111111112
20.122,-14.768866666666666,0.0,0.0,-12.30738888888889
20.173,-13.292,0.0,0.0,-11.076666666666666
20.59,-11.815466666666667,0.0,0.0,-9.846222222222224
20.64,-10.338933333333333,0.00294,7.35e-05,-8.615777777777778
21.058,-8.8628,0.009193333333333333,0.00022983333333333333,-7.385666666666667
21.108,-7.386666666666667,0.019193333333333333,0.0004798333333333333,-6.155555555555556
21.526,-5.910466666666666,0.03250666666666666,0.0008126666666666666,-4.925388888888889
21.576,-4.434266666666667,0.04956666666666667,0.0012391666666666666,-3.6952222222222226
21.994,-2.957533333333333,0.06988,0.0017469999999999999,-2.464611111111111
22.044,-1.4808,0.09387999999999999,0.0023469999999999997,-1.234
22.462,-0.0031333333333333335,0.12113333333333333,0.0030283333333333334,-0.0026111111111111114
22.512,-0.0024,0.15207333333333334,0.0038018333333333333,-0.002
22.93,-0.0009999999999999998,0.18632666666666667,0.004658166666666666,-0.0008333333333333332
22.98,0.00046666666666666693,0.22432666666666667,0.005608166666666667,0.00038888888888888914
23.398,0.0031333333333333335,0.26557333333333333,0.006639333333333333,0.0026111111111111114
23.448,0.005733333333333334,0.31051333333333336,0.007762833333333334,0.004777777777777778
23.866,0.0094,0.35869999999999996,0.0089675,0.007833333333333335
23.916,0.013266666666666668,0.41064,0.010266,0.011055555555555556
24.334,0.017933333333333336,0.46288666666666667,0.011572166666666666,0.014944444444444448
24.384,0.023133333333333336,0.5155733333333333,0.012889333333333333,0.01927777777777778
24.802,0.028933333333333332,0.56776,0.014194000000000002,0.02411111111111111
24.852,0.03473333333333333,0.62032,0.015508,0.028944444444444443
25.27,0.0402,0.6723866666666667,0.016809666666666667,0.0335
25.32,0.04513333333333334,0.7249466666666666,0.018123666666666666,0.037611111111111116
25.738,0.05,0.7771333333333333,0.019428333333333332,0.04166666666666667
25.788,0.05393333333333334,0.82982,0.0207455,0.044944444444444454
26.206,0.05693333333333333,0.8820666666666667,0.022051666666666667,0.04744444444444444
26.256,0.05926666666666667,0.9347533333333333,0.023368833333333332,0.04938888888888889
26.674,0.06106666666666667,0.98694,0.0246735,0.05088888888888889
26.724,0.06166666666666667,1.0396333333333334,0.025990833333333335,0.051388888888888894
27.142,0.06193333333333333,1.0919400000000001,0.027298500000000003,0.051611111111111115
27.192,0.06113333333333334,1.1447533333333333,0.028618833333333333,0.05094444444444445
27.61,0.06046666666666667,1.19706,0.0299265,0.05038888888888889
27.66,0.059000000000000004,1.2498733333333334,0.031246833333333335,0.04916666666666667
28.078,0.05793333333333333,1.3021800000000001,0.0325545,0.048277777777777774
28.128,0.056266666666666666,1.3549933333333333,0.03387483333333333,0.04688888888888889
28.545,0.055,1.4073666666666669,0.03518416666666667,0.04583333333333334
28.595,0.054066666666666666,1.46018,0.0365045,0.04505555555555556
29.013,0.054400000000000004,1.5126199999999999,0.037815499999999995,0.04533333333333334
29.063,0.054799999999999995,1.5654333333333335,0.039135833333333335,0.04566666666666666
29.481,0.05606666666666667,1.6178066666666666,0.040445166666666664,0.04672222222222223
29.531,0.05826666666666667,1.67062,0.0417655,0.04855555555555556
29.949,0.06186666666666666,1.7229933333333334,0.04307483333333333,0.05155555555555555
29.999,0.066,1.7758066666666668,0.044395166666666666,0.05500000000000001
30.417,0.0708,1.82818,0.045704499999999995,0.059000000000000004
30.468,0.07593333333333334,1.8809933333333333,0.047024833333333335,0.06327777777777778
30.885,0.08220000000000001,1.9333066666666667,0.04833266666666667,0.0685
30.935,0.08833333333333333,1.98612,0.049653,0.07361111111111111
31.353,0.09486666666666667,2.0384333333333333,0.05096083333333333,0.07905555555555556
31.403,0.10099999999999999,2.0912466666666667,0.05228116666666667,0.08416666666666667
31.821,0.10753333333333333,2.14356,0.053589,0.08961111111111111
31.871,0.11366666666666667,2.1963733333333333,0.05490933333333333,0.09472222222222222
32.289,0.11939999999999999,2.248746666666667,0.056218666666666674,0.09949999999999999
32.339,0.12386666666666665,2.301493333333333,0.05753733333333333,0.10322222222222222
32.757,0.1282,2.3538066666666664,0.05884516666666666,0.10683333333333335
32.807,0.13166666666666665,2.4065533333333335,0.06016383333333334,0.10972222222222222
